"id","name","education","height","identity","other_aliases","universe","weight"
913,Felicia Hardy,Unrevealed,177,Secret,Jane Doe,Marvel Universe,52
914,Fin Fang Foom,Unrevealed,1087,Secret,"""He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun""",Marvel Universe,9
919,Forgotten One,Unrevealed,195,Secret,"Gilgamesh, Hero, Hercules, Samson, many other aliases as yet unrevealed",Marvel Universe,117
922,Gateway,Unrevealed,137,Secret,None,Marvel Universe,36
924,Genesis,Unrevealed,185,Secret,Tolliver,Marvel Universe; formerly Earth-4935,86
930,Hammerhead,Unrevealed,177,Secret,Mister H,Marvel Universe,119
931,Hammerhead (Ultimate),Unrevealed,177,Secret,Mister H,Marvel Universe,119
932,Hannibal King,Unrevealed,180,Secret,Henry Kagle,Marvel Universe,86
939,Hepzibah,Unrevealed,167,Known in the Shi'ar Empire,"Mam'selle Hepzibah, Zee",Marvel Universe,54
940,Hercules,Unrevealed,195,"Publicly known; however, not all modern day Earth people believe Hercules is the actual Hercules of myth.",,Marvel Universe,146
948,Hussar,Unrevealed,165,Secret,None,Marvel Universe,54
949,Hydro-Man,Unrevealed,187,Known to the authorities,"Morrie, Mud-Thing",Marvel Universe,119
955,Impossible Man,Unrevealed,193,No dual identity,"Impy, Ottoman; impersonated Bridget O’Shaughnessy and innumerable others",Marvel Universe,74
956,Inertia,Unrevealed,162,Publicly known to the people of Earth-712,None,Earth-712,51
963,Jazinda,Unrevealed,167,No dual identity,"Jaz; impersonated Darqon Par, General Eng, Jenifer Walters, Mrs. Murphy, others",Marvel Universe,61
979,La Nuit,Unrevealed,190,Publicly known,"""The Night"" (English translation of codename)",Marvel Universe,77
983,Lila Cheney,Unrevealed,172,No dual identity,None,Marvel Universe,54
988,Lockheed,Unrevealed,76,No dual identity,"Lockheed, Dragon",Marvel Universe,9
989,Longshot,Unrevealed,187,"Publicly known in the Wildways, secret from the general populace of Earth","Lucky One, Fallen Messiah","Wildways (""Mojoverse""); currently in exile",36
990,Longshot (Ultimate),Unrevealed,187,"Publicly known in the Wildways, secret from the general populace of Earth","Lucky One, Fallen Messiah","Wildways (""Mojoverse""); currently in exile",36
992,Madelyne Pryor,Unrevealed,167,Secret,"Maddie, Anodyne, Mutate #9818, Goblyn Queen, Red Queen",Marvel Universe,50
994,Magdalene,Unrevealed,200,Secret,Lady Magdalene,Earth-9021,91
995,Maggott,Unrevealed,203,Secret,None,Marvel Universe,158
999,Mandrill,Unrevealed,182,Public,Hensley Fargus,Marvel Universe,122
1000,Manta,Unrevealed,167,Secret,None,Marvel Universe,56
1001,Mariko Yashida,Unrevealed,152,No dual identity,None,Marvel Universe,45
1010,Mesmero,Unrevealed,177,Secret,"Thomas, Thorton, Junichi, The Wizard, others",Marvel Universe,81
1022,Molecule Man,Unrevealed,170,Secret,None,Marvel Universe,63
1029,Mr. Immortal,Unrevealed,187,Known to authorities,"""Mr. I"", ""Immy""",Marvel Universe,70
1032,Mystique,Unrevealed,177,Secret,"Raven Darkhölme, Foxx, Helmut Stein, Mallory Brickman, B. Byron Biggs, Surge, Ronnie Lake, Holt Adler, Leni Zauber, Raven Wagner, Randy Green, others",Marvel Universe,54
1033,Mystique (Age of Apocalypse),Unrevealed,177,Secret,"Raven Darkhölme, Foxx, Helmut Stein, Mallory Brickman, B. Byron Biggs, Surge, Ronnie Lake, Holt Adler, Leni Zauber, Raven Wagner, Randy Green, others",Marvel Universe,54
1034,Mystique (House of M),Unrevealed,177,Secret,"Raven Darkhölme, Foxx, Helmut Stein, Mallory Brickman, B. Byron Biggs, Surge, Ronnie Lake, Holt Adler, Leni Zauber, Raven Wagner, Randy Green, others",Marvel Universe,54
1035,Mystique (Ultimate),Unrevealed,177,Secret,"Raven Darkhölme, Foxx, Helmut Stein, Mallory Brickman, B. Byron Biggs, Surge, Ronnie Lake, Holt Adler, Leni Zauber, Raven Wagner, Randy Green, others",Marvel Universe,54
1039,Nemesis,Unrevealed,177,Secret,Jane Doe,Marvel Universe,52
1043,Nighthawk,Unrevealed,180,Publicly known,None,Marvel Universe,81
1049,Omega Red,Unrevealed,210,Known to authorities,Vasyliev Arkady among several others,Marvel Universe,191
1052,Ord,Unrevealed,226,Secret,Ord of the Breakworld,Marvel Universe,153
1055,Paladin,Unrevealed,187,Secret,Paul Denning,Marvel Universe,101
1056,Paper Doll,Unrevealed,177,Secret,None,Marvel Universe,59
1059,Photon,Unrevealed,187,Publicly known in the intergalactic community,"Captain Marvel, Legacy, ""Genny"", ""Starface""",Marvel Universe,95
1060,Phyla-Vell,Unrevealed,175,Publicly known on Titan; the general populace of Earth is unaware of her existence.,"Martyr, formerly Quasar",Marvel Universe,46
1062,Pip,Unrevealed,132,Known to intergalactic authorities,"Pipman, King Pip, Formerly Dr. DeTroll",Marvel Universe,65
1064,Post,Unrevealed,251,Secret (known to the U.S. Government officials),None,Marvel Universe,362
1067,Pretty Boy,Unrevealed,172,Secret,None,Marvel Universe,106
1069,Psycho-Man,Unrevealed,175,No dual identity,None,Marvel Universe,61
1070,Puff Adder,Unrevealed,195,Secret,Gordo Fraley,Marvel Universe,169
1071,Puppet Master,Unrevealed,167,Publicly Known,None,Marvel Universe,68
1076,Rattler,Unrevealed,185,Known to the American legal authorities,None,Marvel Universe,110
1077,Ravenous,Unrevealed,200,No dual identity,Lord Ravenous,Marvel Universe,439
1078,Red Ghost,Unrevealed,180,Secret,None,Marvel Universe,97
1079,Red Ghost (Ultimate),Unrevealed,180,Secret,None,Marvel Universe,97
1080,Red Shift,Unrevealed,193,Secret,Unrevealed,Marvel Universe,113
1083,Risque,Unrevealed,170,Secret,None,Marvel Universe,57
1086,Russian,Unrevealed,218,"Secret, known to select underworld crime bosses.",The Ivan,Marvel Universe,258
1087,Sabretooth (Age of Apocalypse),Unrevealed,198,Known to various government officials,"Der Schlächter (""The Butcher"" in German), Slasher, El Tigre, others",Marvel Universe,124
1088,Sabretooth (House of M),Unrevealed,198,Known to various government officials,"Der Schlächter (""The Butcher"" in German), Slasher, El Tigre, others",Marvel Universe,124
1089,Sabretooth (Ultimate),Unrevealed,198,Known to various government officials,"Der Schlächter (""The Butcher"" in German), Slasher, El Tigre, others",Marvel Universe,124
1090,Sage,Unrevealed,170,Secret,None,Marvel Universe,61
1095,Scrambler,Unrevealed,175,Secret,None,Marvel Universe,65
1096,Screwball,Unrevealed,175,Known to authorities,Impersonated Spider-Man (Peter Parker),Marvel Universe,59
1097,Sebastian Shaw,Unrevealed,187,Publicly known,"Black King, Lord Imperial",Marvel Universe,95
1098,Selene,Unrevealed,177,Unrevealed,Black Queen,Marvel Universe,59
1099,Sersi,Unrevealed,175,"Publicly known, though few believe she is an Eternal","Mesmer, Sylvia Sersi, Circe",Marvel Universe,63
1196,Mark,Unrevealed,197,Publicly known,,Marvel Universe; formerly Earth-4935,103
1224,Christina,Unrevealed,163,Secret,,Wildways ('Mojoverse'),439
1051,Oracle,"Unrevealed, presumably extensive",165,Publicly known,None,Marvel Universe,56
854,Bloodscream,"Unrevealed, presumably some medical training.",195,Secret,Bloodsport,Marvel Universe,79
895,Dead Girl,"Unrevealed, presumed high school graduate",172,Secret,None,Marvel Universe,45
1009,Mentallo,Unrevealed; S.H.I.E.L.D. training,177,Known to the authorities,Think Tank,Marvel Universe,79
980,Lady Bullseye,Unrevealed; extensive martial arts training,167,Secret,Maki Matsumoto,Marvel Universe,54
974,Killer Shrike,Unrevealed; military training,195,Publicly known,Harold Simmons,Marvel Universe,113
1021,Mole Man,Unrevealed; self-educated in <a href='/characters/deviants'>Deviant</a> technology,147,Secret,None,Marvel Universe,74
826,Arclight,Unrevealed; some military training,172,Secret,None,Marvel Universe,57
933,Harrier,Unrevealed; some military training,187,Known to the authorities,Cardinal,Marvel Universe,116
824,Aqueduct,Unrevealed; some military training,177,Known to the authorities,Water Wizard,Marvel Universe,95
868,Catseye,Various courses at Massachusetts Academy,182,Secret,Sharon Smith,Marvel Universe,54
947,Husk,Various courses at Xavier Institute,170,Secret,None,Marvel Universe,58
967,Jubilee,"Various courses at Xavier Institute, Massachusetts Academy, and Payton-Noble High School",165,Secret,"Wondra, ""Jubes""",Marvel Universe,52
968,Jubilee (Age of Apocalypse),"Various courses at Xavier Institute, Massachusetts Academy, and Payton-Noble High School",165,Secret,"Wondra, ""Jubes""",Marvel Universe,52
916,Firelord,Xandarian Nova Corps Academy,193,Secret,None,Marvel Universe,99
1109,Virginia,born,187,need,,city,146
1112,Ann,laugh,167,new,,represent,69
1105,Brandon,letter,162,meet,,prevent,150
920,Franklin Richards,none,142,No dual identity,"Franklin Benjamin, Tattletale, Psi-Lord, Ego-Spawn, Avatar",Marvel Universe,45
1108,Angel,place,197,visit,,decade,78
1110,Stacy,represent,152,public,,produce,59
1104,Michael,size,180,spend,,PM,112
1107,Anthony,still,163,discuss,,send,122
1113,Rebecca,system,168,although,,exactly,56
1106,Troy,three,154,Republican,,mission,103
972,Karma,unrevealed,162,Secret,Shan,Marvel Universe,54
982,Lady Mastermind,unrevealed,177,Secret,unrevealed,Marvel Universe,66
877,Constrictor,unspecified college degree,180,Known to authorities,None,Marvel Universe,86
905,Earthquake,,182,Secret,None,Marvel Universe,99
842,Beef,,198,Secret,None,Marvel Universe,113
984,Lilandra,,180,No dual identity,None,Marvel Universe,50
973,Ken Ellis,,177,No dual identity,None,,74
816,Amiko,,147,,,Marvel Universe,45
1016,Mister Sinister (House of M),,195,Secret,"Sinister, Robert Windsor, Arnold Bocklin, Mike Milbury, Apocalypse, Steven Shaffran, Edmond Atkinson, Nate, Administrator Pearson, Nosferatu, Nathan Milbury, Pale Man",Marvel Universe,128
1017,Mister Sinister (Ultimate),,195,Secret,"Sinister, Robert Windsor, Arnold Bocklin, Mike Milbury, Apocalypse, Steven Shaffran, Edmond Atkinson, Nate, Administrator Pearson, Nosferatu, Nathan Milbury, Pale Man",Marvel Universe,128
954,Ikaris,,187,Secret,"Ike Harris, Iceberg, Sovereign",Marvel Universe,104
1015,Mister Sinister (Deadpool),,195,Secret,"Sinister, Robert Windsor, Arnold Bocklin, Mike Milbury, Apocalypse, Steven Shaffran, Edmond Atkinson, Nate, Administrator Pearson, Nosferatu, Nathan Milbury, Pale Man",Marvel Universe,128
1014,Mister Sinister,,195,Secret,"Sinister, Robert Windsor, Arnold Bocklin, Mike Milbury, Apocalypse, Steven Shaffran, Edmond Atkinson, Nate, Administrator Pearson, Nosferatu, Nathan Milbury, Pale Man",Marvel Universe,128
1127,Duplicate,,-1,,,"",
